steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,oracle_horizon,seed,test_year,secs,regen_id,config_hash,git_sha,image,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,recipe,xi_uboil,rng_seed,traj_steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.393337985565317,6.740145509910961,,0.0,20.0,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.385433824929805,6.594383137425882,,0.0,20.0,lowthr,0.0311407240561425,1197778244.0,5760.0
5760.0,2.837532818296048,17.973109633904418,15.13557681560837,7.802554798107947,2.622184844135794,4.710837173364629,730157.578877367,86.69505331231052,15.702790577882098,8.740616147119313,73.38541666666667,1533.0,2545.1401681900024,100.0,0.0,0.0,69.39236111111111,1763.0,4198.688751220703,3296.0,2667.5401022547394,541.4755371435538,1942.35914292808,756.308328589815,18.0,5760.0,1.0,False,horizon,h=12,12.0,4,2020,4395.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
5760.0,2.7835920799855205,18.10466995505269,15.321077875067171,7.494500090110854,2.5976355947995438,5.228942190156776,735502.2169240157,83.27222322345393,17.429807300522587,8.658785315998479,81.05902777777779,1091.0,1732.1125621795654,100.0,0.0,0.0,70.15625,1719.0,3942.217834472656,2810.0,2562.2222511962027,601.0278383254122,1924.1745148753455,712.3584761117102,72.0,5760.0,1.0,False,horizon,h=20,20.0,4,2020,7289.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3745.0,0.2493018832157866,12.126273140446395,11.87697125723061,5.383336399854302,1.6186924741699618,4.874942383206347,492629.8463306349,59.81484888727002,16.24980794402116,5.395641580566539,73.45794392523365,994.0,1924.8933792114256,100.0,0.0,0.0,71.18825100133512,1079.0,2666.258617401123,2073.0,1840.4568860286945,560.338204960384,1199.0314634915385,439.550071007841,100.0,5760.0,0.6502,True,horizon,h=48,48.0,4,2020,10598.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3542.0,-0.9759087941098196,11.499139435966208,12.475048230076029,5.47555947685875,1.6036197449638094,5.395869008253467,467152.5395861272,60.83954974287501,17.986230027511557,5.345399149879365,68.1253529079616,1129.0,2220.9365406036377,100.0,0.0,0.0,71.00508187464709,1027.0,2505.931468963623,2156.0,1871.9861445281392,620.21482900512,1187.86647799799,461.6328480887945,100.0,5760.0,0.6149,True,horizon,h=96,96.0,4,2020,18548.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,10.711635469839749,8.880811807229891,,0.0,20.0,confirmatory,0.0,3155591308.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,4,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.714974901227682,6.915002935630463,,0.0,20.0,lowthr,0.0358029765018551,3842449293.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,5,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.527619736248411,7.606792698541428,,0.0,20.0,confirmatory,0.0,3929851121.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,5,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.305611986641924,6.575465028534523,,0.0,20.0,lowthr,0.0422764823499021,731149643.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,6,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.972714920325638,7.906775667191898,,0.0,20.0,confirmatory,0.0,1990158916.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,6,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.273235387149782,6.369225843449857,,0.0,20.0,lowthr,0.0418163133389671,1276074930.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,7,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.578271723168141,6.847852595068071,,0.0,20.0,confirmatory,0.0598226986535135,1224499046.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,7,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,7.899583842127046,6.239745148197147,,0.0,20.0,lowthr,0.0548005365619305,1378532050.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,8,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.031888511024516,7.060043202484553,,0.0,20.0,confirmatory,0.0,3702642371.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,8,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.202697594913957,6.416138272581719,,0.0,20.0,lowthr,0.0382594535237578,261805398.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,9,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.560297534952957,6.955829935139379,,0.0,20.0,confirmatory,0.0,1308943729.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,9,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.112434693306321,6.383545064746991,,0.0,20.0,lowthr,0.0260369336231391,1681742920.0,5760.0
