steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,mode,seed,draw,test_year,secs,regen_id,config_hash,git_sha,image
5760,-4.722567537466569,8.822133098114872,13.544700635581439,5.64429990581687,4.90272513900528,2.997675590759289,358399.1571109166,62.71444339796522,9.99225196919763,16.3424171300176,57.69097222222223,2437,3131.7541947364807,51.64930555555556,2785,4254456.315063477,30.95486111111111,3977,9147.00447845459,9199,1929.6751812160398,344.5604128057887,3631.6482500341094,1247.8750170706526,0,5760,1.0,False,False,complete,adapt,static,static,0,0,2021,93.9,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.6218725240506395,4.357453037666421,7.979325561717061,6.608477643493836,0.008328684636616897,1.3625192335866076,177021.52965519836,73.42752937215373,4.541730778622026,0.027762282122056326,69.53125,1755,2908.599433898926,84.40972222222223,898,78654.14876556396,51.94444444444445,2768,11484.264434814453,5421,2259.3085963047156,156.61140624442592,6.169396039731186,489.526149660303,0,5760,1.0,False,False,complete,adapt,dagger,dagger,0,0,2021,93.1,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.548712107935052,6.723441428147386,10.272153536082438,6.893551673204712,2.393174447214061,0.9854274156636657,273139.8080184876,76.59501859116347,3.284758052212219,7.977248157380203,91.99652777777779,461,272.5102491378784,88.92361111111111,638,863449.7073974609,54.045138888888886,2647,3244.040184020996,3746,2356.769802881969,113.26751891564477,1772.7218125558638,801.0926054386227,0,5760,1.0,False,False,complete,adapt,ekf,ekf,0,0,2021,90.2,regen-v2,637c6b535a9e,f8f1aef,local
5760,-4.15213415955395,11.000333860661412,15.152468020215359,4.442657690218049,4.825538366216337,5.884271963780976,446888.56308936985,49.36286322464498,19.61423987926992,16.08512788738779,57.8125,2430,3652.6235041618347,59.09722222222222,2356,6753734.502319336,41.770833333333336,3354,9598.967651367188,8140,1518.8573303886803,676.3530994286084,3574.4728646405065,1236.1665629959127,0,5760,1.0,False,False,complete,adapt,static,static,0,0,2022,90.8,regen-v2,637c6b535a9e,f8f1aef,local
5760,-1.7937030175595319,5.884144021134987,7.677847038694519,5.872271681842603,0.0202165536001088,1.7853588032518062,239043.35085860884,65.24746313158448,5.951196010839354,0.06738851200036268,76.61458333333333,1347,3287.065420150757,73.38541666666667,1533,164510.49266052246,53.36805555555556,2686,10564.0034866333,5566,2007.6142499146952,205.2136557050061,14.97522486471414,514.348627298956,0,5760,1.0,False,False,complete,adapt,dagger,dagger,0,0,2022,94.7,regen-v2,637c6b535a9e,f8f1aef,local
4459,-4.867774275434717,4.731538613107952,9.59931288854267,5.422202919422622,2.4046438390224436,1.7724661300976026,192218.75615751056,60.2466991046958,5.908220433658675,8.015479463408147,82.44000897062122,783,528.2125358581543,69.18591612469164,1374,2649570.284423828,65.79950661583315,1525,1866.409683227539,3682,1853.7445891480916,203.73173867016246,1781.2176587067283,609.1382164959739,0,5760,0.7741,True,False,env_terminated,adapt,ekf,ekf,0,0,2022,69.5,regen-v2,637c6b535a9e,f8f1aef,local
5760,2.3334129142973463,13.036653518721412,10.703240604424066,4.675219338006919,5.38965133108395,0.6383699353331967,529614.0491980574,51.946881533410206,2.127899784443989,17.965504436946503,60.03472222222223,2302,2459.405372619629,70.98958333333333,1671,1308072.2276611328,41.66666666666667,3360,6956.451000213623,7333,1598.3655864232392,73.37585466754041,3992.3343191722115,1642.0682734416382,0,5760,1.0,False,False,complete,adapt,static,static,0,0,2023,94.1,regen-v2,637c6b535a9e,f8f1aef,local
5760,-1.705588535366784,4.492089906855615,6.197678442222399,5.3422659899605005,0.006621334179808164,0.8487911180820897,182491.15246600937,59.35851099956112,2.8293037269402994,0.02207111393269388,75.50347222222223,1411,2888.4532375335693,83.80208333333333,933,78615.54852294922,46.33680555555556,3091,14101.917556762695,5435,1826.4157222015804,97.56219751948294,4.90469196133694,650.646819640684,0,5760,1.0,False,False,complete,adapt,dagger,dagger,0,0,2023,86.8,regen-v2,637c6b535a9e,f8f1aef,local
5760,-0.41790270155045506,8.52128137664984,8.939184078200297,6.0548916949993465,1.98277905933951,0.9015133238614396,346177.0559263998,67.27657438888163,3.0050444128714653,6.609263531131701,97.77777777777777,128,108.35248565673828,95.01736111111111,287,762628.6444091797,27.968749999999996,4149,8676.805557250977,4564,2070.0484428061936,103.62222094312858,1468.7252295543403,1048.2022653955414,0,5760,1.0,False,False,complete,adapt,ekf,ekf,0,0,2023,91.6,regen-v2,637c6b535a9e,f8f1aef,local
5760,-1.7254112491645768,7.843814103781504,9.56922535294608,6.695839131042263,1.8115050714093788,1.06188115049444,318654.94796612364,74.39821256713626,3.539603834981467,6.038350238031263,68.75,1800,1687.2037363052368,99.72222222222223,16,3195.208984375,51.12847222222222,2815,6090.990127563477,4631,2289.175771162453,122.05530458894418,1341.8556086630779,1310.2895737637368,0,5760,1.0,False,False,complete,adapt,static,static,0,1,2021,85.1,regen-v2,637c6b535a9e,f8f1aef,local
