block,condition,seed,variant,degree,optimizer,denoise,n_days_train,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d1/stlsq/none,0,raw,1,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,18,8.250106040913362,2.7028848669658503,0.0,1.8451065324660092,,True,30.3
ladder,raw/d1/stlsq/savgol,0,raw,1,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.413741863785208,0.0,3.0257397163583866,,True,28.9
ladder,raw/d1/stlsq/kalman,0,raw,1,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,5.772605119967523,0.0,3.0282607315878685,,True,29.6
ladder,raw/d1/sr3/none,0,raw,1,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,8.250106040913362,4.283029698787301,0.0,2.3505097115335256,,True,29.4
ladder,raw/d1/sr3/savgol,0,raw,1,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.106283021039892,0.0,3.011897792092602,,True,29.2
ladder,raw/d1/sr3/kalman,0,raw,1,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,9.231520167132496,0.0,3.0324914917041483,,True,30.1
ladder,raw/d1/constrained/none,0,raw,1,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,8.250106040913362,4.283029698787301,0.0,2.3505097115335256,,True,29.1
ladder,raw/d1/constrained/savgol,0,raw,1,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.106283021039892,0.0,3.011897792092602,,True,29.3
ladder,raw/d1/constrained/kalman,0,raw,1,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,9.231520167132496,0.0,3.0324914917041483,,True,29.8
ladder,raw/d1/ensemble/none,0,raw,1,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,18,8.250106040913362,2.698936577725245,0.0,1.8451423239659814,,True,29.7
ladder,raw/d1/ensemble/savgol,0,raw,1,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.379840345765757,0.0,3.0252846481965188,,True,29.5
ladder,raw/d1/ensemble/kalman,0,raw,1,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,5.706364401892126,0.0,3.02796216193547,,True,30.2
ladder,raw/d2/stlsq/none,0,raw,2,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,45,8.250106040913362,83.94141867397525,0.05,1.0908086407180813,,False,152.0
ladder,raw/d2/stlsq/savgol,0,raw,2,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.413741863785208,0.0,3.0257397163583866,,False,162.8
ladder,raw/d2/stlsq/kalman,0,raw,2,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,5.772605119967523,0.0,3.0282607315878685,,False,166.9
ladder,raw/d2/sr3/none,0,raw,2,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,8.250106040913362,4.658244008398686,0.0,2.3356304046048963,,False,163.1
ladder,raw/d2/sr3/savgol,0,raw,2,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.191614880030573,0.0,3.0199112716112233,,False,163.3
ladder,raw/d2/sr3/kalman,0,raw,2,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,30.471546035039697,0.0,3.0365560137640237,,False,164.0
ladder,raw/d2/constrained/none,0,raw,2,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,8.250106040913362,4.658244008398686,0.0,2.3356304046048963,,False,160.4
ladder,raw/d2/constrained/savgol,0,raw,2,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.191614880030573,0.0,3.0199112716112233,,False,161.6
ladder,raw/d2/constrained/kalman,0,raw,2,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,30.471546035039697,0.0,3.0365560137640237,,False,164.8
ladder,raw/d2/ensemble/none,0,raw,2,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,43,8.250106040913362,8.578105796115695,0.2,1.3306311540733187,,False,138.8
ladder,raw/d2/ensemble/savgol,0,raw,2,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.155973347559144,5.418504848847255,0.0,3.0257979908456054,,False,160.0
ladder,raw/d2/ensemble/kalman,0,raw,2,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,7.8462416751274375,5.7660474944952025,0.0,3.028232991401195,,False,166.7
ladder,physics/d1/stlsq/none,0,physics,1,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,39,53.1229612468201,26.913607202603345,0.6833333333333333,1.6193189489428546,,True,17.5
ladder,physics/d1/stlsq/savgol,0,physics,1,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,42.000005374194416,5.413741863785208,0.0,3.0257397163583866,,True,38.4
ladder,physics/d1/stlsq/kalman,0,physics,1,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,40.17318113305419,5.772605119967523,0.0,3.0282607315878685,,True,40.1
ladder,physics/d1/sr3/none,0,physics,1,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,14,53.1229612468201,347.82580976347555,0.9666666666666667,2.9740485724029933,,True,6.4
ladder,physics/d1/sr3/savgol,0,physics,1,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,42.000005374194416,5.191941241329701,0.0,3.0199293358396786,,True,39.2
ladder,physics/d1/sr3/kalman,0,physics,1,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,40.17318113305419,89.50220370047403,0.08333333333333333,3.040036956084204,,True,39.4
ladder,physics/d1/constrained/none,0,physics,1,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,14,53.1229612468201,347.82580976347555,0.9666666666666667,2.9740485724029933,,True,6.5
ladder,physics/d1/constrained/savgol,0,physics,1,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,42.000005374194416,5.191941241329701,0.0,3.0199293358396786,,True,39.2
ladder,physics/d1/constrained/kalman,0,physics,1,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,40.17318113305419,89.50220370047403,0.08333333333333333,3.040036956084204,,True,39.7
ladder,physics/d1/ensemble/none,0,physics,1,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,37,53.1229612468201,27.269932148246674,0.7,1.6206060746800135,,True,18.3
ladder,physics/d1/ensemble/savgol,0,physics,1,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5,42.000005374194416,5.419122728972656,0.0,3.025805458392118,,True,39.2
ladder,physics/d1/ensemble/kalman,0,physics,1,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,40.17318113305419,5.825570532589447,0.0,3.028472193817541,,True,40.4
