steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,factor,value,seed,test_year,regen_id,config_hash,git_sha,image,nonzero,xi_uboil,rep
5760,4.508733655098398,12.243854226644746,7.735120571546349,4.755424205892002,2.8719775342578955,0.10771883139645064,497406.57795744285,52.83804673213336,0.35906277132150216,9.57325844752632,64.34027777777777,2054,2323.558843612671,100.0,0,0.0,60.954861111111114,2249,5805.632026672363,4303,1625.7860531610213,12.381474826045793,2127.3907659071715,1498.1318861130117,0,5760,1.0,False,False,complete,design,mpc_horizon=8,mpc_horizon,8.0,0,2020,regen-v2,637c6b535a9e,86e95e8,local,,,
5760,3.614909147313293,11.861187190067026,8.246278042753733,4.69059764751408,3.4431915342611767,0.11248886097847582,481860.7295964729,52.11775163904534,0.3749628699282528,11.477305114203922,63.454861111111114,2105,2349.107416152954,92.74305555555556,418,84414.1875,60.86805555555556,2254,5981.5756759643555,4777,1603.623127981886,12.929754132876885,2550.5122468500003,1481.8592644015682,0,5760,1.0,False,False,complete,design,mpc_horizon=12,mpc_horizon,12.0,0,2020,regen-v2,637c6b535a9e,86e95e8,local,,,
5760,0.8896387990506156,11.53056147036813,10.640922671317515,4.610458826795343,5.239980686789953,0.7904831577322196,468429.05973370536,51.22732029772603,2.634943859107399,17.466602289299843,67.65625,1863,1613.4303226470947,50.260416666666664,2865,2929281.384033203,51.80555555555556,2776,6690.213485717773,7504,1576.2252402744891,90.86013295736633,3881.467172851867,1427.2974379796035,0,5760,1.0,False,False,complete,design,mpc_horizon=20,mpc_horizon,20.0,0,2020,regen-v2,637c6b535a9e,86e95e8,local,,,
5760,0.16111901791325867,11.312729784783144,11.151610766869888,4.588664045170226,5.647989405914953,0.9149573157847068,459579.64750681526,50.98515605744696,3.049857719282356,18.826631353049844,68.45486111111111,1817,1566.5661811828613,43.888888888888886,3232,3663782.9611816406,50.05208333333333,2877,7097.004917144775,7926,1568.774032949465,105.16750753990755,4183.695856132691,1417.160358580033,0,5760,1.0,False,False,complete,design,mpc_horizon=30,mpc_horizon,30.0,0,2020,regen-v2,637c6b535a9e,86e95e8,local,,,
5760,5.239355158535211,16.459563804046727,11.220208645511516,4.834062571885738,5.876334322479495,0.5098117511462821,668669.7795393983,53.71180635428598,1.6993725038209404,19.587781074931648,66.35416666666667,1938,1488.6133880615234,60.06944444444444,2300,2382255.991088867,62.37847222222223,2167,4103.057266235352,6405,1652.6709646571458,58.599051990114994,4352.840238335507,1400.2776222054704,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.01,stlsq_threshold,0.01,0,2020,regen-v2,637c6b535a9e,86e95e8,local,40.0,0.04019382680448582,
5760,8.22037780525468,16.214189747395068,7.99381194214039,4.665711762237587,2.4168538126695562,0.9112463672332458,658701.4584879247,51.84124180263986,3.037487890777486,8.056179375565188,58.21180555555555,2407,2537.7472763061523,100.0,0,0.0,62.53472222222223,2158,5025.203601837158,4565,1595.1151320524832,104.74096163848174,1790.2620832332332,1455.3788588920984,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.05,stlsq_threshold,0.05,0,2020,regen-v2,637c6b535a9e,86e95e8,local,27.0,0.0,
5760,2.7401147008557762,5.7510378028774864,3.0109231020217098,0.16346845229538157,2.036700057507333,0.8107545922189952,233635.91074189788,1.8163161366153509,2.702515307396651,6.78900019169111,32.447916666666664,3891,18157.498202323914,95.29513888888889,271,156524.32165527344,24.72222222222222,4336,32271.12099838257,8498,55.88665041382169,93.19018309771965,1508.6667094830382,1369.0775308129535,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.1,stlsq_threshold,0.1,0,2020,regen-v2,637c6b535a9e,86e95e8,local,20.0,0.0,
5760,-2.404927319833475,2.8147551217839113,5.219682441617387,0.8547946131228469,0.902780379356189,3.4621074491383506,114349.4268224714,9.497717923587189,11.540358163794503,3.009267931187297,26.875,4212,23290.433930635452,76.77083333333333,1338,2599808.7786865234,28.125,4140,25735.41411590576,9690,292.23747492804085,397.94338488029337,668.7262068338524,866.9359525290063,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.2,stlsq_threshold,0.2,0,2020,regen-v2,637c6b535a9e,unknown,local,11.0,0.0,
5760,1.251848409542745,11.258871824896746,10.007023415354002,4.728480148425307,4.8835572826999245,0.39498598422877035,457391.66788643034,52.538668315836745,1.3166199474292346,16.278524275666417,66.21527777777779,1946,1753.5777263641357,61.49305555555556,2218,1463811.7943115234,59.010416666666664,2361,5589.6244468688965,6525,1616.574411251961,45.40068779693817,3617.4498372671897,1470.6155330481424,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,0,2020,regen-v2,637c6b535a9e,unknown,local,,,0.0
5760,1.2546858038849837,11.26793373326652,10.013247929381539,4.5028326649841635,4.735688431638566,0.7747268327588088,457759.8079139524,50.0314740553796,2.582422775862696,15.785628105461889,65.65972222222223,1978,1859.2470798492432,56.90972222222223,2482,2416311.2576904297,49.91319444444444,2885,7061.880386352539,7345,1539.4299699281528,89.04906108307596,3507.9173559922865,1430.6153433766758,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,0,2020,regen-v2,637c6b535a9e,unknown,local,,,1.0
