block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
signal,mahalanobis,0,0,2021,2.8595478900837885,0.26293571411498917,0.1565426968729695,0.6688837840589963,0.5649680043732717,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-1.3561524209304405,8.01289063380681,9.36904305473725,6.64314888268364,1.9164330118807782,0.8094611601728313,325523.68199840165,73.81276536315156,2.6982038672427713,6.388110039602594,62.361111111111114,2168.0,1999.2505974769592,100.0,0.0,0.0,54.18402777777778,2639.0,6136.466331481934,4807.0,2271.162010915682,93.04151272041285,1419.5800093470161,1207.5206616235666,0.0,5760.0,1.0,False,False,complete,-1.0,85.7
guard,guarded,0,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.6301948227761844,8.189402996901027,11.819597819677211,6.4208554501386725,1.7416029273281473,3.6571394422103913,332694.49674910423,71.34283833487414,12.190464807367972,5.805343091093825,56.94444444444444,2480.0,6159.973356485367,96.5625,198.0,80708.8115234375,46.892361111111114,3059.0,12239.619338989258,5737.0,2195.164255937436,420.3608555981268,1290.0762425016098,1113.256583472779,0.0,5760.0,1.0,False,False,complete,-1.0,91.4
signal,mahalanobis,0,0,2022,2.8595478900837885,0.292416666585137,0.2813778054921726,0.7264129392029499,0.6426320958475358,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,6.305806814665187,15.334420382629263,9.028613567964076,5.740755862148607,2.355175945445592,0.9326817603698769,622960.8280443138,63.786176246095636,3.108939201232923,7.85058648481864,68.54166666666667,1812.0,1813.8460359573364,99.94791666666667,3.0,64.0,63.19444444444444,2120.0,4527.421985626221,3935.0,1962.6515756093138,107.20480013864162,1744.5747738565924,1159.9280829513436,0.0,5760.0,1.0,False,False,complete,-1.0,102.7
guard,guarded,0,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5027.0,-2.6414854287050185,8.273225738163639,10.914711166868658,5.803823198983983,1.5866743947329751,3.5242135731516995,336099.79561289784,64.48692443315537,11.747378577172332,5.288914649109917,61.74656852993833,1923.0,5887.111015319824,96.77740202904317,162.0,123584.89697265625,56.614282872488566,2181.0,8863.089420318604,4266.0,1984.213059882498,405.0820202137269,1175.3143655249253,808.9775815586321,0.0,5760.0,0.8727,True,False,env_terminated,-1.0,78.9
signal,mahalanobis,0,0,2023,2.8595478900837885,0.15979837813112274,0.009010392435827597,0.6101368724140888,0.5160078622419448,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,5.05477849185759,13.172825254601156,8.118046762743568,5.011658192299124,2.778319808425917,0.3280687620185262,535146.025968172,55.68509102554582,1.0935625400617541,9.261066028086391,60.06944444444444,2300.0,2048.1656732559204,100.0,0.0,0.0,50.989583333333336,2823.0,6025.376033782959,5123.0,1713.3874172814708,37.709053096419744,2058.0146745304487,1561.9600366836867,0.0,5760.0,1.0,False,False,complete,-1.0,97.5
guard,guarded,0,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.959705209451114,10.245355902323972,9.285650692872858,5.087049760005685,2.65637990171141,1.5422210311557634,416217.5835319114,56.52277511117428,5.1407367705192115,8.854599672371366,55.34722222222223,2572.0,3737.7465586662292,98.50694444444444,86.0,30022.55029296875,49.72222222222222,2896.0,8421.251461029053,5554.0,1739.162310570972,177.26678505323525,1967.6888159744885,1479.0462459522141,0.0,5760.0,1.0,False,False,complete,-1.0,93.2
signal,mahalanobis,0,1,2021,2.8595478900837885,0.2660761301801338,0.21858015394996527,0.66669178886102,0.5929614980598966,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-1.5331793144652845,7.922860864707351,9.456040179172636,6.669566871113627,1.8445245380241975,0.9419487700348119,321866.22262873617,74.10629856792919,3.1398292334493734,6.1484151267473255,67.34375,1881.0,1669.6212391853333,99.94791666666667,3.0,130.997314453125,53.36805555555556,2686.0,6294.132919311523,4570.0,2280.193802694563,108.26997364736776,1366.3144729622177,1252.5183183727352,0.0,5760.0,1.0,False,False,complete,-1.0,91.6
guard,guarded,0,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.8634422795646888,8.115633822512308,11.979076102076995,6.313846570660273,1.6872741222017913,3.9779554092149323,329697.6240395625,70.15385078511414,13.259851364049775,5.624247074005972,58.36805555555556,2398.0,5953.930761098862,97.37847222222223,151.0,63552.84191894531,45.90277777777778,3116.0,13250.918434143066,5665.0,2158.5800236841396,457.236253955234,1249.8326833766812,1123.6117076616208,0.0,5760.0,1.0,False,False,complete,-1.0,92.3
signal,mahalanobis,0,1,2022,2.8595478900837885,0.2892937172130086,0.3366766827725696,0.7190873073295173,0.6467889816065342,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,5.932904561016715,15.216079613992282,9.283175052975569,5.799845107760632,2.3310528321458204,1.1522771130691143,618153.2343184365,64.44272341956258,3.8409237102303813,7.770176107152735,75.39930555555556,1417.0,1176.8989887237549,99.91319444444444,5.0,119.0023193359375,62.760416666666664,2145.0,4919.071105957031,3567.0,1982.853028046547,132.44564514791244,1726.705802513429,1232.8234120962088,0.0,5760.0,1.0,False,False,complete,-1.0,103.9
guard,guarded,0,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,4453.0,-2.579052220050288,7.389575746383015,9.968627966433303,5.335712061219918,1.2185206807204827,3.4143952244929006,300201.5146968099,59.285689569110204,11.381317414976335,4.061735602401609,63.17089602515158,1640.0,4942.340085029602,96.9907927240063,134.0,82845.15795898438,55.6478778351673,1975.0,8204.967777252197,3749.0,1824.1750636899694,392.4592214006759,902.6079122719319,680.393348689473,0.0,5760.0,0.7731,True,False,env_terminated,-1.0,72.2
signal,mahalanobis,0,1,2023,2.8595478900837885,0.16445472956552973,0.08782680679097049,0.6119801715544408,0.561025494672755,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
